Id,FirstName,LastName,Major,GradDate
1,Estel,Tincombe,Turquoise,12/11/2023
2,Cam,Crumley,Crimson,05/20/2024
3,Rhonda,Locock,Khaki,06/26/2022
4,Phil,Guiso,Yellow,01/30/2024
5,Ida,Sizland,Pink,09/13/2023
6,Dorris,Whybray,Blue,10/21/2023
7,Cynde,Mathet,Yellow,10/12/2023
8,Dillie,McKeeman,Blue,11/03/2023
9,Cyrillus,Abrahami,Red,10/04/2023
10,Kalila,Danilovic,Yellow,01/04/2025
11,Niccolo,Smitham,Red,03/06/2023
12,Yvon,Bayless,Khaki,02/20/2024
13,Catlin,Ebbin,Turquoise,05/03/2025
14,Kathye,Maidlow,Orange,01/27/2023
15,Sophey,Keigher,Orange,06/25/2023
16,Jarad,Tague,Green,04/20/2024
17,Kendal,Greenslade,Crimson,04/22/2023
18,Laurence,Dorken,Aquamarine,05/31/2023
19,Alonso,Pryde,Purple,12/07/2022
20,Jodi,Philpots,Green,07/15/2024
21,Christel,Ivashkov,Crimson,10/31/2023
22,Winona,Hardbattle,Pink,09/12/2023
23,Melesa,Ridesdale,Teal,07/13/2023
24,Del,Padwick,Puce,05/27/2023
25,Zena,Joberne,Turquoise,11/04/2024
26,Emelen,Tordoff,Purple,09/22/2022
27,Goldie,Petford,Khaki,06/30/2022
28,Lauraine,Struan,Teal,06/04/2024
29,Jacquelin,Capeloff,Maroon,01/16/2025
30,Cynthia,Fraine,Puce,04/24/2025
31,Almeria,O'Lagene,Purple,04/18/2024
32,Odelinda,Philippeaux,Pink,06/28/2024
33,Brande,Joney,Turquoise,02/01/2025
34,Ogdon,Quodling,Indigo,08/04/2024
35,Ted,Digle,Violet,02/19/2023
36,Terrence,Gorvette,Turquoise,12/11/2024
37,Mathilde,O'Shiel,Violet,06/25/2022
38,Korney,Sparling,Goldenrod,03/27/2024
39,Horton,Greenrodd,Fuscia,08/16/2023
40,Sauveur,Rodrigo,Indigo,06/27/2024
41,Leah,Exposito,Red,02/02/2023
42,Torry,Roisen,Indigo,06/20/2023
43,Bendix,Norquoy,Pink,02/17/2025
44,Blisse,Reilingen,Blue,03/23/2024
45,Barbey,Groundwator,Teal,05/24/2023
46,Evonne,Daen,Maroon,03/17/2024
47,Raleigh,Darnody,Goldenrod,08/18/2023
48,Alli,Venable,Maroon,04/05/2024
49,Tina,McCahey,Maroon,06/19/2023
50,Portie,Blaes,Yellow,08/27/2022
51,Paige,Giffard,Indigo,11/19/2024
52,Drusy,Barchrameev,Maroon,11/02/2022
53,Quincy,Hanvey,Crimson,11/17/2024
54,Karine,Chill,Pink,10/16/2024
55,Tim,Rama,Yellow,04/26/2024
56,Ward,Farnon,Khaki,01/02/2023
57,Kristos,Bough,Blue,02/27/2024
58,Slade,Benley,Goldenrod,07/02/2024
59,Aloisia,Rude,Yellow,05/09/2023
60,Booth,Charlson,Turquoise,10/02/2023
61,Rowe,Domange,Green,01/09/2025
62,Cacilia,Janicijevic,Turquoise,03/31/2024
63,Michele,Labitt,Maroon,05/16/2024
64,Addia,St Angel,Orange,06/06/2024
65,Avie,Malam,Violet,03/13/2023
66,Charles,Heustace,Maroon,07/29/2024
67,Patience,Kerss,Turquoise,04/27/2024
68,Dominik,Bocken,Purple,05/15/2023
69,Fabien,Annett,Goldenrod,12/31/2023
70,Eugen,Shervil,Mauv,10/21/2024
71,Harrie,Kepp,Yellow,02/09/2024
72,Nat,Hakking,Aquamarine,04/24/2025
73,Eyde,Hamal,Violet,05/04/2024
74,Haskel,Tonsley,Yellow,07/19/2023
75,Cordell,Howieson,Aquamarine,11/03/2022
76,Raffarty,Daber,Teal,06/09/2022
77,Lorettalorna,Bresson,Khaki,02/28/2025
78,Mufi,Nani,Yellow,03/17/2025
79,Skipp,Rampley,Indigo,09/30/2022
80,Pauletta,Ranvoise,Yellow,01/31/2023
81,Kati,Erwin,Puce,10/05/2024
82,Darda,Ivanishev,Indigo,11/27/2023
83,Jedediah,Ridgewell,Orange,03/13/2024
