id,FirstName,LastName,Major,Season,Year,email
1,Estel,Tincombe,ATMO,Spring,2024,Estel.Tincombe@email.com
2,Cam,Crumley,BIO,Summer,2024,Cam.Crumley@email.com
3,Rhonda,Locock,BME,Winter,2022,Rhonda.Locock@email.com
4,Phil,Guiso,BMT,Fall,2023,Phil.Guiso@email.com
5,Ida,Sizland,CHEME,Spring,2022,Ida.Sizland@email.com
6,Dorris,Whybray,CHEM,Summer,2022,Dorris.Whybray@email.com
7,Cynde,Mathet,CE,Winter,2023,Cynde.Mathet@email.com
8,Dillie,McKeeman,CENG,Fall,2025,Dillie.McKeeman@email.com
9,Cyrillus,Abrahami,CSC,Spring,2022,Cyrillus.Abrahami@email.com
10,Kalila,Danilovic,EE,Summer,2024,Kalila.Danilovic@email.com
11,Niccolo,Smitham,GEOE,Winter,2022,Niccolo.Smitham@email.com
12,Yvon,Bayless,GEO,Fall,2024,Yvon.Bayless@email.com
13,Catlin,Ebbin,IS,Spring,2024,Catlin.Ebbin@email.com
14,Kathye,Maidlow,MATH,Summer,2024,Kathye.Maidlow@email.com
15,Sophey,Keigher,ME,Winter,2024,Sophey.Keigher@email.com
16,Jarad,Tague,MET,Fall,2023,Jarad.Tague@email.com
17,Kendal,Greenslade,PHYS,Spring,2022,Kendal.Greenslade@email.com
18,Laurence,Dorken,STS,Summer,2025,Laurence.Dorken@email.com
19,Alonso,Pryde,MINE,Winter,2024,Alonso.Pryde@email.com
20,Jodi,Philpots,ATMO,Fall,2022,Jodi.Philpots@email.com
21,Christel,Ivashkov,BIO,Spring,2024,Christel.Ivashkov@email.com
22,Winona,Hardbattle,BME,Summer,2022,Winona.Hardbattle@email.com
23,Melesa,Ridesdale,BMT,Winter,2025,Melesa.Ridesdale@email.com
24,Del,Padwick,CHEME,Fall,2025,Del.Padwick@email.com
25,Zena,Joberne,CHEM,Spring,2025,Zena.Joberne@email.com
26,Emelen,Tordoff,CE,Summer,2022,Emelen.Tordoff@email.com
27,Goldie,Petford,CENG,Winter,2022,Goldie.Petford@email.com
